那	nǎ<div>that</div>	B1-L2-Family B1-L4-Hobbies
的	de<div>(possesive particle or descriptive particle)</div>	B1-L2-Family
照片	zhàopiàn<div>picture, photo</div>	B1-L2-Family
这	zhè<div>this</div>	B1-L2-Family
爸爸	bàba<div>father</div>	B1-L2-Family
妈妈	māma<div>mother</div>	B1-L2-Family
个	<div>gè / ge</div>(general measure word)	B1-L2-Family
女	nǚ<div>female</div>	B1-L2-Family
孩子	háizi<div>child</div>	B1-L2-Family
谁	shéi<div>who, whom</div>	B1-L2-Family
她	tā<div>she, her</div>	B1-L2-Family
姐姐	jiějie<div>older sister</div>	B1-L2-Family
男	nán<div>male</div>	B1-L2-Family
弟弟	dìdi<div>younger brother</div>	B1-L2-Family
他	tā<div>he, him</div>	B1-L2-Family
大哥	dàgē<div>eldest/oldest brother</div>	B1-L2-Family
儿子	érzi<div>son</div>	B1-L2-Family
有	yǒu<div>to have, to exist</div>	B1-L2-Family
女儿	nǚ'ér<div>daughter</div>	B1-L2-Family
没	méi<div>not</div>	B1-L2-Family
高	gāo<div>- tall, high</div><div>- also a family name</div>	B1-L2-Family
家	jiā<div>family, home</div>	B1-L2-Family
几	jǐ<div>how many, some, a few</div>	B1-L2-Family
口	kǒu<div>- measure word for num. family members</div>- measure word for bites of food<div>- mouth<br></div>	B1-L2-Family B2-L20-At-The-Airport
哥哥	gēge<div>older brother</div>	B1-L2-Family
两	<div>liǎng</div>two, a couple of (used for objects, as opposed to 二）	B1-L2-Family
妹妹	mèimei<div>younger sister</div>	B1-L2-Family
和	hé<div>and (can only be used to connect two nouns)</div>	B1-L2-Family
大姐	dàjiě<div>eldest/oldest sister</div>	B1-L2-Family
二姐	èrjiě<div>second oldest sister</div>	B1-L2-Family
做	zuò<div>to do</div>	B1-L2-Family
工作	gōngzuò<div>job; to work (can be used as noun and verb)</div>	B1-L2-Family
律师	lǜshī<div>lawyer</div>	B1-L2-Family
英文	Yīngwén<div>the English language</div>	B1-L2-Family
都	dōu<div>both, all</div>	B1-L2-Family
大学生	dàxuéshēng<div>college student</div>	B1-L2-Family
大学	dàxué<div>university, college</div>	B1-L2-Family
医生	yīshēng<div>doctor, physician</div>	B1-L2-Family
兄弟姐妹	xiōngdìjiěmèi<div>siblings</div>	B1-L2-Family
现在	xiànzài<div>now</div>	B1-L3-Time-and-Date
刻	kè<div>quarter of an hour</div>	B1-L3-Time-and-Date
事（儿）	shì(r)<div>matter, affair, event</div>	B1-L3-Time-and-Date
今天	jīntiān<div>today</div>	B1-L3-Time-and-Date
很	hěn<div>very</div>	B1-L3-Time-and-Date
